Time,Time Code,Country Name,Country Code,GDP per person employed (constant 2017 PPP $) [SL.GDP.PCAP.EM.KD],CO2 emissions (kt) [EN.ATM.CO2E.KT],"Population, total [SP.POP.TOTL]"
1992,YR1992,Albania,ALB,10478.0747184812,2220,3247039
1992,YR1992,Armenia,ARM,7226.62971425114,10900,3574555
1992,YR1992,Azerbaijan,AZE,11908.6425479441,63610,7382050
1992,YR1992,Belarus,BLR,18097.3439948914,87990,10216470
1992,YR1992,Bosnia and Herzegovina,BIH,..,15970,4275730
1992,YR1992,Bulgaria,BGR,27802.7108379129,55360,8540164
1992,YR1992,Georgia,GEO,10042.2953283071,20070,4873500
1992,YR1992,Kazakhstan,KAZ,23616.7355974451,253840,16439095
1992,YR1992,Kosovo,XKX,..,..,1932000
1992,YR1992,Moldova,MDA,..,20320,2975621
1992,YR1992,Montenegro,MNE,..,1480,608516
1992,YR1992,North Macedonia,MKD,31508.6358914285,8540,2018023
1992,YR1992,Russian Federation,RUS,35882.4273997156,2030810,148538197
1992,YR1992,Serbia,SRB,..,47990,7646424
1992,YR1992,Turkiye,TUR,38265.0858575973,149800,56302037
1992,YR1992,Turkmenistan,TKM,17926.5436853184,28100,3926369
1993,YR1993,Albania,ALB,10946.9004538974,2060,3227287
1993,YR1993,Armenia,ARM,7075.20547114997,5040,3457349
1993,YR1993,Azerbaijan,AZE,9024.51565357757,48050,7494800
1993,YR1993,Belarus,BLR,17476.1611367589,76420,10239050
1993,YR1993,Bosnia and Herzegovina,BIH,..,13400,3942981
1993,YR1993,Bulgaria,BGR,28238.27172754,55930,8472313
1993,YR1993,Georgia,GEO,6973.42777700814,16090,4911100
1993,YR1993,Kazakhstan,KAZ,21395.9381871625,219240,16380672
1993,YR1993,Kosovo,XKX,..,..,1965000
1993,YR1993,Moldova,MDA,..,17410,2974817
1993,YR1993,Montenegro,MNE,..,1290,610170
1993,YR1993,North Macedonia,MKD,30301.1512477816,8840,1996893
1993,YR1993,Russian Federation,RUS,33850.5315425627,1880250,148458777
1993,YR1993,Serbia,SRB,..,42720,7699307
1993,YR1993,Turkiye,TUR,43337.4063064292,155580,57296008
1993,YR1993,Turkmenistan,TKM,17635.1129174733,26970,4031698
1994,YR1994,Albania,ALB,11376.7515634119,2070,3207536
1994,YR1994,Armenia,ARM,7737.0470578139,2740,3373713
1994,YR1994,Azerbaijan,AZE,7091.39627826416,33520,7596550
1994,YR1994,Belarus,BLR,15942.158794348,64810,10226955
1994,YR1994,Bosnia and Herzegovina,BIH,6246.00299231124,3160,3762330
1994,YR1994,Bulgaria,BGR,27922.3194159342,53720,8443591
1994,YR1994,Georgia,GEO,6473.48714870951,10440,4836076
1994,YR1994,Kazakhstan,KAZ,20107.137406827,199170,16145766
1994,YR1994,Kosovo,XKX,..,..,1997000
1994,YR1994,Moldova,MDA,..,14140,2967585
1994,YR1994,Montenegro,MNE,..,1260,611389
1994,YR1994,North Macedonia,MKD,31210.6529323989,8550,1982458
1994,YR1994,Russian Federation,RUS,31171.4438898619,1685050,148407912
1994,YR1994,Serbia,SRB,..,38900,7734639
1994,YR1994,Turkiye,TUR,38281.0923545548,153820,58310245
1994,YR1994,Turkmenistan,TKM,14146.1668542752,33550,4133037
1995,YR1995,Albania,ALB,12216.4727376829,1930,3187784
1995,YR1995,Armenia,ARM,8372.50881588643,3510,3322782
1995,YR1995,Azerbaijan,AZE,6119.76648641262,32470,7684850
1995,YR1995,Belarus,BLR,14930.1579217774,57640,10193831
1995,YR1995,Bosnia and Herzegovina,BIH,7665.0160649752,3370,3750527
1995,YR1995,Bulgaria,BGR,28571.2381093073,54880,8406067
1995,YR1995,Georgia,GEO,6878.17392444792,8180,4657722
1995,YR1995,Kazakhstan,KAZ,19437.8934435076,175240,15816243
1995,YR1995,Kosovo,XKX,..,..,2029000
1995,YR1995,Moldova,MDA,13712.3801185106,12140,2953200
1995,YR1995,Montenegro,MNE,..,1330,611712
1995,YR1995,North Macedonia,MKD,33691.1932737684,8520,1983964
1995,YR1995,Russian Federation,RUS,30481.7682189933,1635490,148375787
1995,YR1995,Serbia,SRB,18952.205407232,44550,7625357
1995,YR1995,Turkiye,TUR,40283.4716737251,168150,59305490
1995,YR1995,Turkmenistan,TKM,13059.3435515129,33990,4226623
1996,YR1996,Albania,ALB,13425.8830934248,1940,3168033
1996,YR1996,Armenia,ARM,9128.77695785779,2580,3298898
1996,YR1996,Azerbaijan,AZE,6159.2179866684,27190,7763000
1996,YR1996,Belarus,BLR,16706.0049293309,58650,10159569
1996,YR1996,Bosnia and Herzegovina,BIH,13939.5341298401,4190,3907751
1996,YR1996,Bulgaria,BGR,31012.2955501333,55300,8362826
1996,YR1996,Georgia,GEO,8402.94962124516,6360,4491699
1996,YR1996,Kazakhstan,KAZ,20186.4297725203,153390,15578227
1996,YR1996,Kosovo,XKX,..,..,2059000
1996,YR1996,Moldova,MDA,13084.7142822811,10400,2947293
